Tweet ID,Tweet URL,Tweet Posted Time,Tweet Type,Tweet Text,Tweet Text Length,Client,Client URL,Total Retweets,Total Likes,Total Quoted,Total Replies,Language,Sensitive Content,Replying To Username,Mentions,Hashtags,Emojis,Symbols,Total Mentions,Total Hashtags,Total URLs,Total Media,Total Emojis,Total Symbols,Total Polls,URL,Media Type,Media URL,Media Alt Text,Tweet Truncated,Original Author Twitter ID,Original Author Full name,Original Author Screen name,Original Author Location,Original Author Description (Bio),Original Author Website,Original Author Total Followers,Original Author Total Following,Original Author Total Public Lists,Original Author Total Likes,Original Author Total Tweets,Original Author Verified Account,Original Author Protected Tweets,Original Author Has NFT Avatar,Original Author Created At (UTC),Original Author Possible Email,Original Author Possible Phone
1590032437501124609,https://twitter.com/AlamedaTrabucco/status/1590032437501124609,2022-11-08 17:24:09,Tweet,Much love to everyone -- I'm sure the past few days have been dark for many and I hope the road ahead is brighter.,114,Twitter Web App,https://mobile.twitter.com,141,2201,149,838,en,,,"","","","",0,0,0,0,0,0,0,,,,,,1260642356753129472,Sam Trabucco,AlamedaTrabucco,"",Former CEO + crypto quant trader @ https://t.co/HgMj6usiBe. Sports were too hard so I did math instead. Not investment advice.,,180178,171,3706,7219,3802,true,false,false,2020-05-13 18:47:10,"",""
1589713459452997632,https://twitter.com/AlamedaTrabucco/status/1589713459452997632,2022-11-07 20:16:38,Reply,@bruddah369 @HsakaTrades @binance @cz_binance lol,49,Twitter Web App,https://mobile.twitter.com,0,51,7,20,und,,bruddah369,"bruddah369,HsakaTrades,binance,cz_binance","","","",4,0,0,0,0,0,0,,,,,,1260642356753129472,Sam Trabucco,AlamedaTrabucco,"",Former CEO + crypto quant trader @ https://t.co/HgMj6usiBe. Sports were too hard so I did math instead. Not investment advice.,,180178,171,3706,7219,3802,true,false,false,2020-05-13 18:47:10,"",""
1589319132708999168,https://twitter.com/AlamedaTrabucco/status/1589319132708999168,2022-11-06 18:09:44,Retweet,"@cz_binance if you're looking to minimize the market impact on your FTT sales, Alameda will happily buy it all from you today at $22!",133,Twitter for iPhone,http://twitter.com/download/iphone,1252,8331,0,0,en,,cz_binance,cz_binance,"","","",1,0,0,0,0,0,0,,,,,,1368514414505193475,Caroline,carolinecapital,"","crypto trader, effective altruist. not financial advice",,63527,143,640,87,71,false,false,false,2021-03-07 10:51:55,"",""
1589318807566581761,https://twitter.com/AlamedaTrabucco/status/1589318807566581761,2022-11-06 18:08:26,Quote,bonkers how people just instantly 100% believe every shitty “news” story they see,81,Twitter for iPhone,http://twitter.com/download/iphone,148,909,233,425,en,,,"","","","",0,0,0,0,0,0,0,,,,,,1260642356753129472,Sam Trabucco,AlamedaTrabucco,"",Former CEO + crypto quant trader @ https://t.co/HgMj6usiBe. Sports were too hard so I did math instead. Not investment advice.,,180178,171,3706,7219,3802,true,false,false,2020-05-13 18:47:10,"",""
1589071081952145409,https://twitter.com/AlamedaTrabucco/status/1589071081952145409,2022-11-06 01:44:04,Retweet,Now that Twitter is private it can probably raise at 100bn min,62,Twitter Web App,https://mobile.twitter.com,7,179,0,0,en,,,"","","","",0,0,0,0,0,0,0,,,,,,1196542741871771648,Cant Make Sense 🫡,cmsholdings,"",Do you wanna make money or do you wanna be right,http://cmsholdings.io,128949,1096,2574,69768,25881,false,false,false,2019-11-18 21:36:49,"",""
1589003612428328960,https://twitter.com/AlamedaTrabucco/status/1589003612428328960,2022-11-05 21:15:58,Tweet,Ironically all I’ve done since getting Twitter Blue is to make Twitter green https://t.co/gLVytvcdqM,76,Twitter for iPhone,http://twitter.com/download/iphone,1,162,1,22,en,false,,"","","","",0,0,0,1,0,0,0,,photo,https://pbs.twimg.com/media/Fg1GXTDVUAAYXCh.jpg,"",,1260642356753129472,Sam Trabucco,AlamedaTrabucco,"",Former CEO + crypto quant trader @ https://t.co/HgMj6usiBe. Sports were too hard so I did math instead. Not investment advice.,,180178,171,3706,7219,3802,true,false,false,2020-05-13 18:47:10,"",""
1588618330784796673,https://twitter.com/AlamedaTrabucco/status/1588618330784796673,2022-11-04 19:44:59,Retweet,just made this meme https://t.co/YgZWUPdz23,19,Twitter Web App,https://mobile.twitter.com,35,458,0,0,en,false,,"","","","",0,0,0,1,0,0,0,,photo,https://pbs.twimg.com/media/FgvmU2PWQAEF0d9.jpg,"",,1186334500625752066,emileaf 🍂,theemilyaccount,womanhattan,"runner, sequence number enthusiast",http://emily.website,17217,460,202,203316,41109,false,false,false,2019-10-21 17:33:06,"",""
1588597451824730112,https://twitter.com/AlamedaTrabucco/status/1588597451824730112,2022-11-04 18:22:01,Reply,@aspiring__whale @rsalame7926 shit @rsalame7926 back to the drawing board,73,Twitter for iPhone,http://twitter.com/download/iphone,0,45,0,2,en,,aspiring__whale,"aspiring__whale,rsalame7926,rsalame7926","","","",3,0,0,0,0,0,0,,,,,,1260642356753129472,Sam Trabucco,AlamedaTrabucco,"",Former CEO + crypto quant trader @ https://t.co/HgMj6usiBe. Sports were too hard so I did math instead. Not investment advice.,,180178,171,3706,7219,3802,true,false,false,2020-05-13 18:47:10,"",""
1588426975198072833,https://twitter.com/AlamedaTrabucco/status/1588426975198072833,2022-11-04 07:04:37,Reply,"@MarcTheBulll @GotTalentAU your instant auto-reply to my starbucks post was a lot more not-bot-seeming, this is a let down",122,Twitter Web App,https://mobile.twitter.com,0,1,0,1,en,,MarcTheBulll,"MarcTheBulll,GotTalentAU","","","",2,0,0,0,0,0,0,,,,,,1260642356753129472,Sam Trabucco,AlamedaTrabucco,"",Former CEO + crypto quant trader @ https://t.co/HgMj6usiBe. Sports were too hard so I did math instead. Not investment advice.,,180178,171,3706,7219,3802,true,false,false,2020-05-13 18:47:10,"",""
1588426737393598466,https://twitter.com/AlamedaTrabucco/status/1588426737393598466,2022-11-04 07:03:40,Tweet,"Friend of mine killing it on @GotTalentAU + spreading an important message at the same time, way to go https://t.co/LqjCYl3v9p https://t.co/sFwWtcdRSU",151,Twitter Web App,https://mobile.twitter.com,6,43,0,10,en,false,,GotTalentAU,"","","",1,0,2,0,0,0,0,https://www.instagram.com/magicmike_notastripper/,,,,,1260642356753129472,Sam Trabucco,AlamedaTrabucco,"",Former CEO + crypto quant trader @ https://t.co/HgMj6usiBe. Sports were too hard so I did math instead. Not investment advice.,,180178,171,3706,7219,3802,true,false,false,2020-05-13 18:47:10,"",""
1588268823509012480,https://twitter.com/AlamedaTrabucco/status/1588268823509012480,2022-11-03 20:36:10,Tweet,"My least favorite thing about myself is that I prefer Starbucks to almost every ""nice"" coffee place I have ever had",115,Twitter Web App,https://mobile.twitter.com,4,144,5,43,en,,,"","","","",0,0,0,0,0,0,0,,,,,,1260642356753129472,Sam Trabucco,AlamedaTrabucco,"",Former CEO + crypto quant trader @ https://t.co/HgMj6usiBe. Sports were too hard so I did math instead. Not investment advice.,,180178,171,3706,7219,3802,true,false,false,2020-05-13 18:47:10,"",""
